ሀበ;whb:[cls=A,as='smp',vc=[-cs,-ps]];;give_v;;ሃበ;whb:[as=smp,vc=smp]
ለምደ;lmd:[cls=A,as=None,vc=[-cs,-ps]];;become_v accustomed;;ለመደ;lmd:[as=smp,vc=smp]
ለምደ;lmd:[cls=A,as=None,vc=[-cs,-ps]];;get_v used to;;ለመደ;lmd:[as=smp,vc=smp]
ለብሰ;lbs:[cls=A,as=None,vc=[-cs,-ps]];;cover_v;;ለበሰ;lbs:[as=smp,vc=smp]
ለብሰ;lbs:[cls=A,as=None,vc=[-cs,-ps]];;dress_v;;ለበሰ;lbs:[as=smp,vc=smp]
ለብሰ;lbs:[cls=A,as=None,vc=[-cs,-ps]];;put_v on clothes;;ለበሰ;lbs:[as=smp,vc=smp]
ለክፈ;lkf:[cls=A,as=None,vc=[-cs,-ps]];;throw_v;;ወርወረ;wrwr:[as=smp,vc=smp]
ለክፈ;lkf:[cls=A,as=None,vc=[-cs,-ps]];;throw_v;;ደርበየ;drby:[as=smp,vc=smp]
ለክፈ;lkf:[cls=A,as=None,vc=[-cs,-ps]];;throw_v;;ደርበየ;drby:[as=smp,vc=smp]
ለወጠ;lwT:[cls=B,as=None,vc=[-cs,-ps]];;exchange_v;;ለወጠ;lw_T:[as=smp,vc=smp]
ሐልፈ;Hlf:[cls=A,as=None,vc=[-cs,-ps]];;pass_v;;ሓለፈ;Hlf:[as=smp,vc=smp]
ሐመ;Hmy:[cls=A,as=None,vc=[-cs,-ps]];;gossip_v;;ሓመየ;Hmy:[as=smp,vc=smp]
ሐመ፟;Hmm:[cls=A,as=None,vc=[-cs,-ps]];;be_v sick;;ሓመመ;Hmm:[as=smp,vc=smp]
ሐርሰ;Hrs:[cls=A,as=None,vc=[-cs,-ps]];;plough_v;;ሓረሰ;Hrs:[as=smp,vc=smp]
ሐርደ;Hrd:[cls=A,as=None,vc=[-cs,-ps]];;slaughter_v;;ሓረደ;Hrd:[as=smp,vc=smp]
ሐበ፟ረ;Hbr:[cls=B,as=None,vc=[-cs,-ps]];;join_v;;ሓበረ;Hbr:[as=smp,vc=smp]
ሐበ፟ረ;Hbr:[cls=B,as=None,vc=[-cs,-ps]];;join_v;;ተሓወሰ;Hw_s:[as=smp,vc=ps]
ሐየ;Hyy:[cls=B,as=None,vc=[-cs,-ps]];;heal_v;;ሓወየ;Hw_y:[as=smp,vc=smp]
ሐድረ;Hdr:[cls=A,as=None,vc=[-cs,-ps]];;dwell_v;;ሓደረ;Hdr:[as=smp,vc=smp]
ሐድረ;Hdr:[cls=A,as=None,vc=[-cs,-ps]];;spend_v the night;;ሓደረ;Hdr:[as=smp,vc=smp]
ሐድገ;Hdg:[cls=A,as=None,vc=[-cs,-ps]];;leave_v;;ሓደገ;Hdg:[as=smp,vc=smp]
ሐጽበ;HSb:[cls=A,as=None,vc=[-cs,-ps]];;wash_v;;ሓጸበ;HSb:[as=smp,vc=smp]
ሐፍሰ;Hfs:[cls=A,as=None,vc=[-cs,-ps]];;be_v thick;;ሓፈሰ;Hfs:[as=smp,vc=smp]
