ቀትለ	ቀተለ	kill 
በሽለ	በሰለ	be cooked, mature, ripen
ነድቀ	ነደቐ	build
ለብሰ	ለበሰ	cover, dress, put on clothes
ቀርበ	ቀረበ 	approach 
በልሰ	መ'ለሰ	answer, reply
በትከ	በተኸ	cut
ፈግረ	ወጽአ 	go out
ፈጥነ	ፈለጠ	be conscious 
ቀንጸ	ሓፍ በለ፡ ተንስአ	get up
ረክበ	ረኸበ	found
ሰትረ	ሰተረ	hide
ለክፈ 	ደርበየ 	throw
ሸርበ	ጨለጠ፡ ሰተየ	devour
ደንረረ 	ደንጐየ	be late 
ሰክበ 	ደቀሰ	sleep
ወደ 	ገበረ፡ ወደየ	do, make
መዘ፟ነ	መዘነ	weigh
ዐደ፟መ	ዓደመ	invite
ገረ፟መ	ጸበቐ፡ገረመ	be beautiful 
ከየነ	ኣታለለ 	deceive
ደገ፟መ	ተረተ፡ ነገረ፡ ኣዘንተወ	narrate, tell 
ከበ፟ረ	ዜና ሃበ፡ ሓ'በረ	give news
ከብረ 	ከበረ	be honored 
ሐፍሰ	ሓፈሰ 	take with both hands 
ሐፍሰ 	ሓፈሰ	be thick
ሐፍነ	ሞቐ፡ ረሰነ 	become hot
ሸከ፟ረ 	ወደሰ	praise
ሸክረ	ሰኸረ 	become drunk
ሰብረ	ሰበረ 	break to pieces 
ቀየደ  	ቀየደ 	tie, fasten, chain
ለክፈ	ደርበየ፡ ወርወረ 	throw
ሐልፈ	ሓለፈ 	pass
ሐመ 	ሓመየ	gossip
ሐመ፟	ሓመመ	be sick 
አተ	ኣተወ	enter
ተክለ	ተኸለ፡ ዘርአ	plant
ሐርደ	ሓረደ	slaughter
ከለ፟	ወደአ፡ ጨረሰ፡ ፈጸመ	terminate
ሰረ፟ሐ 	ኣሰነየ፡ ኣፋነወ 	see off, accompany
ሰርሐ	ሰርሐ	create, make
መራመረ	መራመረ	examine thoroughly 
መርመረ	መርመረ	examine, consider
ጌሰ	ከደ	go 
ሐርሰ	ሓረሰ 	plough
ከልአ	ኣበየ 	refuse
ሰባበረ 	ሰባበረ	break thoroughly 
ሸርመ	ጨረመ 	cut into strips, break through
ለምደ	ለመደ 	become accustomed, get used to
ዘምተ	ዘመተ	loot
ፈንፈነ	ፈንፈነ	abhor
ቀጥረ	ነጠበ	trickle 
መጽአ 	መጽአ	come
ጠለ፟	ጠለለ	be wet 
በሀረረ	ባህረረ	be frightened 
ትዳለ፟	ተዳለወ	be ready
ትገሰ፟	ተቐመጠ	sit down
ትለሐመ	ተላሕመ 	join together, glue 
ሐድገ	ሓደገ	leave
ሐድረ	ሓደረ	dwell, spend the night
ካተበ 	ከተበ 	vaccinate
ዐርገ 	ዓረገ 	ascend 
አትዐረገ	ኣዕረገ 	make ascend 
አበ፟ሰ	ኣበ'ሰ	sin 
ሐጽበ 	ሓጸበ	wash
ሐበ፟ረ	ሓበረ፡ ተሓወሰ 	join 
በልዐ	በልዐ	eat
ሸመ፟ዐ	ሸመ''ዐ	wax, daub with wax 
ዶረ	ዘወረ 	go around
ቀየሰ	ቀየሰ፡ ዓቀነ 	measure 
ለወጠ	ለወጠ	exchange
ሞተ	ሞተ	die
ጾመ	ጾመ	fast
ሸቀ	ሸቀለ	work
ፈሰ 	ዘልዘለ	cut meat for drying 
ትቃለ፟	ተቐልወ 	be roasted
ትመየ	ሓደረ	pass the night
ትዋለ	ተመርሐ	be led
አግለ 	ኣጐለ 	go bad, spoil
ረአ	ርኣየ	see
ሐየ	ሓወየ	heal
በአ	ኣተወ	enter 
ቀሐ	ቀየሐ	get red
ቀአ	ኣምለሰ	vomit
ወዐለ	ወዓለ	spend the day
ወሐደ	ወሓደ	be little 
ሀበ	ሃበ	give
ሔሰ	ሓየሸ	be better 
ቤለ	በለ	say
ከልጠ	ገገየ፡ ተጋገየ	make a mistake
ደረ፟በ	ደረበ	tie together
ደርበ	ደርበየ	throw
ደርዘ	ደረዘ	massage
ደረ፟ከ	ደረኸ 	jolt 
ጨሐመ	ጨሓመ	grow a beard
ዘብጠ	ዘበጠ	hit
ዘርገ	ዘረገ	confuse, spoil 
ዔረ	ዓወረ 	become blind
