ሃለወ;hl_w:[as=smp,vc=smp];;exist_v;live_v
ሃረመ;hrm:[as=smp,vc=smp];;knock_v;beat_v
ሃቀነ;hq_n:[as=smp,vc=smp];;aim_v
ሃበ;whb:[as=smp,vc=smp];;give_v;supply_v;provide_v;offer_v;reward_v
ሃብተመ;hbtm:[as=smp,vc=smp];;become_v rich
ሃነጸ;hnS:[as=smp,vc=smp];;construct_v;build_v
ሃወኸ;hw_k:[as=smp,vc=smp];;bother_v;disturb_v
ሃደመ;hdm:[as=smp,vc=smp];;flee_v;avoid_v;shun_v
ሃደነ;hdn:[as=smp,vc=smp];;hunt_v;dispel_v;chase_v
ሃደደ;hd_d:[as=smp,vc=smp];;threaten_v
ሃድአ;hd':[as=smp,vc=smp];;calm_v;pacify_v;soothe_v
ለመመ;lmm:[as=smp,vc=smp];;crawl_v
ለመነ;lm_n:[as=smp,vc=smp];;beg_v
ለመደ;lmd:[as=smp,vc=smp];;get_v used to
ለመጸ;lmS:[as=smp,vc=smp];;varnish_v
ለሓሰ;lHs:[as=smp,vc=smp];;lick_v
ለቐቐ;lqq:[as=smp,vc=smp];;release_v;free_v
ለበሰ;lbs:[as=smp,vc=smp];;wear_v;dress_v
ለኣኸ;l'k:[as=smp,vc=smp];;send_v
ለወሰ;lw_s:[as=smp,vc=smp];;knead_v
ለወየ;lwy:[as=smp,vc=smp];;bend_v down;stoop_v
ለወጠ;lw_T:[as=smp,vc=smp];;change_v;switch_v
ለዋወጠ;lw_T:[as=it,vc=smp];;exchange_v
ለዓለ;l`l:[as=smp,vc=smp];;raise_v
ለዘበ;lzb:[as=smp,vc=smp];;soften_v
ለገሰ;lgs:[as=smp,vc=smp];;grant_v
ለገበ;lg_b:[as=smp,vc=smp];;patch_v
ለገበ;lg_b:[as=smp,vc=smp];;be_v attached;attach_v[ps];bond_v
ለጠፈ;lT_f:[as=smp,vc=smp];;stick_v;glue_v
ላጸየ;laSy:[as=smp,vc=smp];;shave_v
ሓብአ;Hb':[as=smp,vc=smp];;hide_v
ሓለመ;Hlm:[as=smp,vc=smp];;dream_v
ሓለፈ;Hlf:[as=smp,vc=smp];;pass_v;get_v around;cross_v
ሓመመ;Hmm:[as=smp,vc=smp,ob=[+xpl]];;be_v sick
ሓምሸሸ;Hmxx:[as=smp,vc=smp];;crush_v
ሓምበሰ;Hmbs:[as=smp,vc=smp];;swim_v
ሓረሰ;Hrs:[as=smp,vc=smp];;plough_v
ሓረሰት;Hrs:[as=smp,vc=smp];;give_v birth
ሓረየ;Hry:[as=smp,vc=smp];;pick_v;choose_v
ሓረደ;Hrd:[as=smp,vc=smp];;cut_v;slaughter_v
ሓርሓረ;HrHr:[as=smp,vc=smp];;saw_v off
ሓሰበ;Hsb:[as=smp,vc=smp];;think_v;consider_v
ሓሰወ;Hs_w:[as=smp,vc=smp];;lie_v
ሓሸሸ;Hx_x:[as=smp,vc=smp];;spend_v
ሓቐቐ;Hqq:[as=smp,vc=smp];;melt_v;dissolve_v
ሓቖነ;HqWn:[as=smp,vc=smp];;shake_v
ሓበረ;Hbr:[as=smp,vc=smp];;suggest_v;direct_v
ሓብአ;Hb':[as=smp,vc=smp];;hide_v;conceal_v
ሓተመ;Htm:[as=smp,vc=smp];;print_v
ሓተተ;Htt:[as=smp,vc=smp];;demand_v;apply_v;ask_v
ሓንፈጠ;HnfT:[as=smp,vc=smp];;scratch_v
ሓከመ;Hk_m:[as=smp,vc=smp];;treat_v;look_v after
ሓኸኸ;Hkk:[as=smp,vc=smp];;scrape_v
ሓኾረ;HkWr:[as=smp,vc=smp];;climb_v
ሓወሰ;Hw_s:[as=smp,vc=smp];;mix_v
ሓወየ;Hw_y:[as=smp,vc=smp];;cure_v
ሓዋወሰ;Hw_s:[as=it,vc=smp];;mix_v
ሓዘ;tHz:[as=smp,vc=smp];;hold_v;handle_v;keep_v;occupy_v
ሓደገ;Hdg:[as=smp,vc=smp];;let_v
ሓገዘ;Hg_z:[as=smp,vc=smp];;assist_v;help_v
ሓግሓገ;HgHg:[as=smp,vc=smp];;rake_v;search_v
ሓጨጨ;HC_C:[as=smp,vc=smp];;tease_v;mock_v
ሓጥአ;HT':[as=smp,vc=smp];;sin_v
ሓጸበ;HSb:[as=smp,vc=smp];;wash_v
ሓፈሰ;Hfs:[as=smp,vc=smp];;harvest_v;be_v thick
ሓጸየ;HSy:[as=smp,vc=smp];;nominate_v
መሃረ;mhr:[as=smp,vc=smp];;educate_v;teach_v
መሃዘ;mhz:[as=smp,vc=smp];;create_v;invent_v
መለሰ;ml_s:[as=smp,vc=smp];;return_v;restore_v;give_v back;take_v back
መለሰ;ml_s:[as=smp,vc=smp];;answer_v;reply_v
መለአ;ml':[as=smp,vc=smp];;supply_v;add_v
መልአ;ml':[as=smp,vc=smp];;fill_v up
መሓለ;mHl:[as=smp,vc=smp];;swear_v;vow_v
መሓረ;mHr:[as=smp,vc=smp];;excuse_v;forgive_v
መመየ;mmy:[as=smp,vc=smp];;sort_v
መረቐ;mr_q:[as=smp,vc=smp];;bless_v
መረጸ;mrS:[as=smp,vc=smp];;choose_v;pick_v;select_v;prefer_v;elect_v
