## ;prf,3sm,0o,neg,main
ti:'aydemeQen # dmq|A;ኣይደመቐን
te:'idemqe # dmq|A;ኢደምቀ
ks:'aldemeqe # dmq|A;አልደመቀ
am:'aldem_eqem # dmq|A;አልደመ፟ቀም
## ;prf,3sm,0o,neg,rel
ti:zeydemeQe # dmq|A;ዘይደመቐ
te:le'idemqe # dmq|A;ለኢደምቀ
ks:yaldemeqe # dmq|A;ያልደመቀ
am:yaldem_eqe # dmq|A;ያልደመ፟ቀ
## ;prf,3sm,0o,aff,main
ti:demeQe # dmq|A;ደመቐ
te:demqe # dmq|A;ደምቀ
ks:dem_eqo # dmq|A;ደመ፟ቆ
am:dem_eqe # dmq|A;ደመ፟ቀ
## ;prf,3sm,0o,aff,rel
ti:zdemeQe # dmq|A;ዝደመቐ
te:ledemqe # dmq|A;ለደምቀ
ks:yedem_eqe # dmq|A;የደመ፟ቀ
am:yedem_eqe # dmq|A;የደመ፟ቀ
## ;imf,3sm,0o,neg,main
ti:'ay_dem_Qn # dmq|A;ኣይ፟ደም፟ቕን
te:'ildem_q # dmq|A;ኢልደም፟ቅ
ks:tidemq # dmq|A;ቲደምቅ
am:'aydemqm # dmq|A;አይደምቅም
## ;imf,3sm,0o,neg,rel
ti:zey_dem_Q # dmq|A;ዘይ፟ደም፟ቕ
te:le'ildem_q # dmq|A;ለኢልደም፟ቅ
ks:'aydemq # dmq|A;አይደምቅ
am:yem_aydemq # dmq|A;የማ፟ይደምቅ
## ;imf,3sm,0o,aff,main
ti:ydem_Q # dmq|A;ይደም፟ቕ
te:ldem_q # dmq|A;ልደም፟ቅ
ks:ydemqu # dmq|A;ይደምቁ
am:ydemqal # dmq|A;ይደምቃል
## ;imf,3sm,0o,aff,rel
ti:zidem_Q # dmq|A;ዚደም፟ቕ
te:leldem_q # dmq|A;ለልደም፟ቅ
ks:ydemq # dmq|A;ይደምቅ
am:yem_idemq # dmq|A;የሚ፟ደምቅ
## ;prf,3sm,0o,neg,main
ti:'aybeselen # bsl|A;ኣይበሰለን
am:'albes_elem # bsl|A;አልበሰ፟ለም
ks:'albesele # bsl|A;አልበሰለ
te:'ibexle # bxl|A;ኢበሽለ
## ;prf,3sm,0o,neg,rel
ti:zeybesele # bsl|A;ዘይበሰለ
am:yalbes_ele # bsl|A;ያልበሰ፟ለ
ks:yalbesele # bsl|A;ያልበሰለ
te:le'ibexle # bxl|A;ለኢበሽለ
## ;prf,3sm,0o,aff,main
ti:besele # bsl|A;በሰለ
am:bes_ele # bsl|A;በሰ፟ለ
ks:bes_elo # bsl|A;በሰ፟ሎ
