## ;prf,1s,0o,neg,main
te:'iqerebko # qrb|A;ኢቀረብኮ
ks:'alqerebkW # qrb|A;አልቀረብኵ
am:'alqer_ebkum # qrb|A;አልቀረ፟ብኩም
ti:'ayqerebkun # qrb|A;ኣይቀረብኩን
## ;prf,1s,0o,neg,rel
te:le'iqerebko # qrb|A;ለኢቀረብኮ
ks:yalqerebkW # qrb|A;ያልቀረብኵ
am:yalqer_ebku # qrb|A;ያልቀረ፟ብኩ
ti:zeyqerebku # qrb|A;ዘይቀረብኩ
## ;prf,1s,0o,aff,main
te:qerebko # qrb|A;ቀረብኮ
ks:qer_ebki # qrb|A;ቀረ፟ብኪ
am:qer_ebku # qrb|A;ቀረ፟ብኩ
ti:qerebku # qrb|A;ቀረብኩ
## ;prf,1s,0o,aff,rel
te:leqerebko # qrb|A;ለቀረብኮ
ks:yeqer_ebkW # qrb|A;የቀረ፟ብኵ
am:yeqer_ebku # qrb|A;የቀረ፟ብኩ
ti:zQerebku # qrb|A;ዝቐረብኩ
## ;prf,3sm,0o,neg,main
te:'iqerbe # qrb|A;ኢቀርበ
ks:'alqerebe # qrb|A;አልቀረበ
am:'alqer_ebem # qrb|A;አልቀረ፟በም
ti:'ayqereben # qrb|A;ኣይቀረበን
## ;prf,3sm,0o,neg,rel
te:le'iqerbe # qrb|A;ለኢቀርበ
ks:yalqerebe # qrb|A;ያልቀረበ
am:yalqer_ebe # qrb|A;ያልቀረ፟በ
ti:zeyqerebe # qrb|A;ዘይቀረበ
## ;prf,3sm,0o,aff,main
te:qerbe # qrb|A;ቀርበ
ks:qer_ebo # qrb|A;ቀረ፟ቦ
am:qer_ebe # qrb|A;ቀረ፟በ
ti:qerebe # qrb|A;ቀረበ
## ;prf,3sm,0o,aff,rel
te:leqerbe # qrb|A;ለቀርበ
ks:yeqer_ebe # qrb|A;የቀረ፟በ
am:yeqer_ebe # qrb|A;የቀረ፟በ
ti:zQerebe # qrb|A;ዝቐረበ
## ;prf,2pf,0o,neg,main
te:'iqerebkn # qrb|A;ኢቀረብክን
ks:'alqerebkma # qrb|A;አልቀረብክማ
am:'alqer_ebac_hum # qrb|A;አልቀረ፟ባች፟ሁም
ti:'ayqerebknn # qrb|A;ኣይቀረብክንን
## ;prf,2pf,0o,neg,rel
te:le'iqerebkn # qrb|A;ለኢቀረብክን
ks:yalqerebkma # qrb|A;ያልቀረብክማ
am:yalqer_ebac_hu # qrb|A;ያልቀረ፟ባች፟ሁ
ti:zeyqerebkn # qrb|A;ዘይቀረብክን
## ;prf,2pf,0o,aff,main
te:qerebkn # qrb|A;ቀረብክን
ks:qer_ebkman # qrb|A;ቀረ፟ብክማን
am:qer_ebac_hu # qrb|A;ቀረ፟ባች፟ሁ
ti:qerebkn # qrb|A;ቀረብክን
## ;prf,2pf,0o,aff,rel
te:leqerebkn # qrb|A;ለቀረብክን
ks:yeqer_ebkma # qrb|A;የቀረ፟ብክማ
am:yeqer_ebac_hu # qrb|A;የቀረ፟ባች፟ሁ
ti:zQerebkn # qrb|A;ዝቐረብክን
## ;imf,1s,0o,neg,main
te:'i'qer_b # qrb|A;ኢእቀር፟ብ
ks:teqerb # qrb|A;ተቀርብ
am:'alqerbm # qrb|A;አልቀርብም
ti:'ayqer_bn # qrb|A;ኣይቀር፟ብን
## ;imf,1s,0o,neg,rel
te:le'i'qer_b # qrb|A;ለኢእቀር፟ብ
ks:'an_qerb # qrb|A;አን፟ቀርብ
am:yem_alqerb # qrb|A;የማ፟ልቀርብ
ti:zeyqer_b # qrb|A;ዘይቀር፟ብ
## ;imf,1s,0o,aff,main
te:'qer_b # qrb|A;እቀር፟ብ
ks:'eqerbu # qrb|A;ኧቀርቡ
am:'qerbal_ehu # qrb|A;እቀርባለ፟ሁ
ti:'Qer_b # qrb|A;እቐር፟ብ
## ;imf,1s,0o,aff,rel
te:le'qer_b # qrb|A;ለእቀር፟ብ
ks:'eqerb # qrb|A;ኧቀርብ
am:yem_qerb # qrb|A;የም፟ቀርብ
ti:zQer_b # qrb|A;ዝቐር፟ብ
## ;imf,3sm,0o,neg,main
te:'ilqer_b # qrb|A;ኢልቀር፟ብ
ks:tiqerb # qrb|A;ቲቀርብ
am:'ayqerbm # qrb|A;አይቀርብም
ti:'ay_Qer_bn # qrb|A;ኣይ፟ቐር፟ብን
## ;imf,3sm,0o,neg,rel
te:le'ilqer_b # qrb|A;ለኢልቀር፟ብ
ks:'ayqerb # qrb|A;አይቀርብ
am:yem_ayqerb # qrb|A;የማ፟ይቀርብ
ti:zey_Qer_b # qrb|A;ዘይ፟ቐር፟ብ
## ;imf,3sm,0o,aff,main
te:lqer_b # qrb|A;ልቀር፟ብ
ks:yqerbu # qrb|A;ይቀርቡ
am:yqerbal # qrb|A;ይቀርባል
ti:yQer_b # qrb|A;ይቐር፟ብ
## ;imf,3sm,0o,aff,rel
te:lelqer_b # qrb|A;ለልቀር፟ብ
ks:yqerb # qrb|A;ይቀርብ
am:yem_iqerb # qrb|A;የሚ፟ቀርብ
ti:ziQer_b # qrb|A;ዚቐር፟ብ
## ;imf,2pf,0o,neg,main
te:'itqerbe # qrb|A;ኢትቀርበ
ks:tt_qerbma # qrb|A;ትት፟ቀርብማ
am:'at_qerbum # qrb|A;አት፟ቀርቡም
ti:'aytQerban # qrb|A;ኣይትቐርባን
## ;imf,2pf,0o,neg,rel
te:le'itqerbe # qrb|A;ለኢትቀርበ
ks:'at_qerbma # qrb|A;አት፟ቀርብማ
am:yem_at_qerbu # qrb|A;የማ፟ት፟ቀርቡ
ti:zeytQerba # qrb|A;ዘይትቐርባ
## ;imf,2pf,0o,aff,main
te:tqerbe # qrb|A;ትቀርበ
ks:tqerbman # qrb|A;ትቀርብማን
am:tqerbal_ac_hu # qrb|A;ትቀርባላ፟ች፟ሁ
ti:tQerba # qrb|A;ትቐርባ
## ;imf,2pf,0o,aff,rel
te:letqerbe # qrb|A;ለትቀርበ
ks:tqerbma # qrb|A;ትቀርብማ
am:yem_t_qerbu # qrb|A;የም፟ት፟ቀርቡ
ti:zt_Qerba # qrb|A;ዝት፟ቐርባ
## ;prf,1s,0o,neg,main
ti:'ayselTenkun # slTn|E;ኣይሰልጠንኩን
te:'iselTenko # slTn|E;ኢሰልጠንኮ
ks:'alsleTenkW # slTn|E;አልስለጠንኵ
am:'alseleT_enkum # slTn|E;አልሰለጠ፟ንኩም
## ;prf,1s,0o,neg,rel
ti:zeyselTenku # slTn|E;ዘይሰልጠንኩ
te:le'iselTenko # slTn|E;ለኢሰልጠንኮ
ks:yalsleTenkW # slTn|E;ያልስለጠንኵ
am:yalseleT_enku # slTn|E;ያልሰለጠ፟ንኩ
## ;prf,1s,0o,aff,main
ti:selTenku # slTn|E;ሰልጠንኩ
te:selTenko # slTn|E;ሰልጠንኮ
ks:sleT_enki # slTn|E;ስለጠ፟ንኪ
am:seleT_enku # slTn|E;ሰለጠ፟ንኩ
## ;prf,1s,0o,aff,rel
ti:zselTenku # slTn|E;ዝሰልጠንኩ
te:leselTenko # slTn|E;ለሰልጠንኮ
ks:yesleT_enkW # slTn|E;የስለጠ፟ንኵ
am:yeseleT_enku # slTn|E;የሰለጠ፟ንኩ
## ;prf,3sm,0o,neg,main
ti:'ayselTenen # slTn|E;ኣይሰልጠነን
te:'iselTene # slTn|E;ኢሰልጠነ
ks:'alsleTene # slTn|E;አልስለጠነ
am:'alseleT_enem # slTn|E;አልሰለጠ፟ነም
## ;prf,3sm,0o,neg,rel
ti:zeyselTene # slTn|E;ዘይሰልጠነ
te:le'iselTene # slTn|E;ለኢሰልጠነ
ks:yalsleTene # slTn|E;ያልስለጠነ
am:yalseleT_ene # slTn|E;ያልሰለጠ፟ነ
## ;prf,3sm,0o,aff,main
ti:selTene # slTn|E;ሰልጠነ
te:selTene # slTn|E;ሰልጠነ
ks:sleT_eno # slTn|E;ስለጠ፟ኖ
am:seleT_ene # slTn|E;ሰለጠ፟ነ
## ;prf,3sm,0o,aff,rel
ti:zselTene # slTn|E;ዝሰልጠነ
te:leselTene # slTn|E;ለሰልጠነ
ks:yesleT_ene # slTn|E;የስለጠ፟ነ
am:yeseleT_ene # slTn|E;የሰለጠ፟ነ
## ;prf,2pf,0o,neg,main
ti:'ayselTenknn # slTn|E;ኣይሰልጠንክንን
te:'iselTenkn # slTn|E;ኢሰልጠንክን
ks:'alsleTenkma # slTn|E;አልስለጠንክማ
am:'alseleT_enac_hum # slTn|E;አልሰለጠ፟ናች፟ሁም
## ;prf,2pf,0o,neg,rel
ti:zeyselTenkn # slTn|E;ዘይሰልጠንክን
te:le'iselTenkn # slTn|E;ለኢሰልጠንክን
ks:yalsleTenkma # slTn|E;ያልስለጠንክማ
am:yalseleT_enac_hu # slTn|E;ያልሰለጠ፟ናች፟ሁ
## ;prf,2pf,0o,aff,main
ti:selTenkn # slTn|E;ሰልጠንክን
te:selTenkn # slTn|E;ሰልጠንክን
ks:sleT_enkman # slTn|E;ስለጠ፟ንክማን
am:seleT_enac_hu # slTn|E;ሰለጠ፟ናች፟ሁ
## ;prf,2pf,0o,aff,rel
ti:zselTenkn # slTn|E;ዝሰልጠንክን
